prop,acc,trial,rank
0,0.875,1,4
0.01,0.8714,1,5
0.02,0.8625,1,7
0.03,0.8768,1,3
0.04,0.8821,1,1
0.05,0.8804,1,2
0.06,0.8571,1,8
0.07,0.8696,1,6
0.08,0.8393,1,11
0.09,0.8482,1,9
0.1,0.8482,1,9
0,0.8554,2,5
0.01,0.8661,2,1
0.02,0.8625,2,2
0.03,0.8607,2,4
0.04,0.8518,2,7
0.05,0.85,2,8
0.06,0.8625,2,2
0.07,0.8482,2,9
0.08,0.8321,2,11
0.09,0.8554,2,5
0.1,0.8482,2,9
0,0.8536,3,8
0.01,0.8625,3,1
0.02,0.8554,3,6
0.03,0.8554,3,6
0.04,0.8571,3,4
0.05,0.8625,3,1
0.06,0.8411,3,11
0.07,0.8625,3,1
0.08,0.8571,3,4
0.09,0.8536,3,8
0.1,0.8482,3,10
0,0.8554,4,3
0.01,0.8464,4,8
0.02,0.8679,4,1
0.03,0.8482,4,5
0.04,0.8518,4,4
0.05,0.8482,4,5
0.06,0.8482,4,5
0.07,0.8571,4,2
0.08,0.8375,4,9
0.09,0.8321,4,10
0.1,0.8321,4,10
0,0.8661,4,1
0.01,0.8482,5,8
0.02,0.85,5,6
0.03,0.8536,5,4
0.04,0.8464,5,9
0.05,0.8571,5,3
0.06,0.8411,5,11
0.07,0.8536,5,4
0.08,0.85,5,6
0.09,0.8429,5,10
0.1,0.8589,5,2